DATE,ATNHPIUS11180Q
1987-10-01,65.53
1988-01-01,67.33
1988-04-01,70.17
1988-07-01,70.12
1988-10-01,70.07
1989-01-01,71.73
1989-04-01,69.43
1989-07-01,72.74
1989-10-01,72.66
1990-01-01,74.09
1990-04-01,75.36
1990-07-01,76.86
1990-10-01,76.80
1991-01-01,79.36
1991-04-01,78.10
1991-07-01,80.48
1991-10-01,82.47
1992-01-01,83.39
1992-04-01,83.89
1992-07-01,86.21
1992-10-01,85.62
1993-01-01,88.19
1993-04-01,88.89
1993-07-01,91.43
1993-10-01,92.11
1994-01-01,93.16
1994-04-01,96.63
1994-07-01,96.34
1994-10-01,98.58
1995-01-01,100.00
1995-04-01,99.62
1995-07-01,104.01
1995-10-01,103.77
1996-01-01,103.54
1996-04-01,106.48
1996-07-01,105.91
1996-10-01,106.03
1997-01-01,108.72
1997-04-01,110.29
1997-07-01,112.12
1997-10-01,113.57
1998-01-01,113.73
1998-04-01,113.83
1998-07-01,117.35
1998-10-01,117.94
1999-01-01,118.75
1999-04-01,121.08
1999-07-01,121.67
1999-10-01,121.21
2000-01-01,122.93
2000-04-01,125.14
2000-07-01,126.60
2000-10-01,127.39
2001-01-01,128.94
2001-04-01,130.84
2001-07-01,132.33
2001-10-01,133.02
2002-01-01,134.17
2002-04-01,134.12
2002-07-01,136.45
2002-10-01,136.91
2003-01-01,138.00
2003-04-01,138.20
2003-07-01,140.51
2003-10-01,143.45
2004-01-01,143.68
2004-04-01,146.25
2004-07-01,148.41
2004-10-01,147.77
2005-01-01,148.11
2005-04-01,150.75
2005-07-01,153.75
2005-10-01,154.09
2006-01-01,153.83
2006-04-01,155.69
2006-07-01,153.29
2006-10-01,154.84
2007-01-01,154.67
2007-04-01,157.71
2007-07-01,157.16
2007-10-01,157.95
2008-01-01,160.00
2008-04-01,157.74
2008-07-01,156.30
2008-10-01,156.74
2009-01-01,159.34
2009-04-01,157.81
2009-07-01,156.40
2009-10-01,157.64
2010-01-01,153.68
2010-04-01,157.23
2010-07-01,157.53
2010-10-01,158.03
2011-01-01,153.78
2011-04-01,153.28
2011-07-01,156.73
2011-10-01,156.85
2012-01-01,156.52
2012-04-01,155.71
2012-07-01,157.14
2012-10-01,157.38
2013-01-01,159.37
2013-04-01,160.35
2013-07-01,162.55
2013-10-01,167.01
2014-01-01,163.07
2014-04-01,167.27
2014-07-01,171.35
2014-10-01,171.79
2015-01-01,169.68
2015-04-01,175.52
2015-07-01,176.50
2015-10-01,178.43
2016-01-01,179.59
2016-04-01,184.44
2016-07-01,183.35
2016-10-01,184.26
2017-01-01,184.20
2017-04-01,194.19
2017-07-01,195.04
2017-10-01,197.70
2018-01-01,189.23
